,Text,Sentiment,label_val,panjang_text
121,cocok relax keluarga pelayanan nya bagus makanan enak pemandangan pemandangan nya mantap,positive,2,130
122,fadli zon anjing sok polos,negative,0,49
123,enak tuna mayo pizza nya pinggir nya pakai cheesy bites harga murah pelayanan strategis,positive,2,139
124,sulit mengerti orang,negative,0,52
125,romantis udara dingin suasana tenang makanan lezat menikmati keindahan kota bandung romantis,positive,2,152
126,nanda dhl indonesia,neutral,1,48
127,omongan nya anies suka kebalikkan nya percaya menerus gila,negative,0,87
128,pasangan liburan asri sejuk pemandangan menarik makanan mahal menggugah selera,positive,2,159
129,enak banget wajib dicoba pencinta ayam bakar harga sepadan enak makan bareng bareng keluarga tercinta makan nya enak,positive,2,163
130,rakyat panik 4 kibuli istana panik jurus tipu dikeluarkan mempan rakyat nya pintar kecuali penghuni kolam butek senang diumpankan tipu tipu hap hap hap,negative,0,270
131,alhamdulillah warga perbatasan merasakan buah pembangunan menikmati menunggu 72 merdeka 73 merasakan nya terima kasih jokowi benci jokowi salut beliau,positive,2,293
132,berlokasi daerah ciumbuleuit terpencil kafe halaman rumah sulap makan terbuka taman sederhana sunyi nongkrong cafe keributan hiruk pikuk orang nya makanan oke,positive,2,359
133,marah indosat,negative,0,22
134,kampung bareto terletak dataran bandung utara menyajikan makanan indonesia makanan barat saung lesehan meja makan pertemuan keluarga arisan makan teman cocok menjamu tamu bersantai malam minggu disajikan musik live tersedia kolam ikan memancing harga makanan 100k id suasana nya tenang pelayan,positive,2,454
135,yusri maling kepala maling nya ayo pejabat jakarta pergi kartu tanda penduduk daerah khusus ibukota nya rakyat miskin dibantu pajak orang orang beruang bergaya,negative,0,173
136,senang berkunjung ayam penyet bu tris menu tersedia mencoba makanan sate sungguh nikmat romantis makan ditemani alunan live musik,positive,2,219
137,makan sengaja antrean orang restauran enak porsi mengenyangkan harga terjangkau lapar pesan 1 2 porsi,positive,2,221
138,nasi goreng hijau tren botti nya enak oke oke jus lumayan segar nya lumayan berkumpul berkumpul keluarga,positive,2,140
139,restoran rekomendasi bandung pelayanan nya bagus bagus pelayanan pemandangan kece banget makanan nya enak menyesal deh,positive,2,225
140,dasar gubernur bermutu pecat gubernur,negative,0,57
141,keren nya sesuai nama nya 18th restoran lounge nyaman nya cocok banget makan keluarga pasangan nya sih kelurga asyik pelayan nya banget ramah harga makan nya standar,positive,2,323
142,makan siang memuaskan menu buffet sistem enak penyajian uni menikmati nya makan langsung beralaskan daun pisang sensasional mencoba menu tutut dimasak kuning jengkol crispy si incredible quite enak rekomendasi,positive,2,285
143,mantap ambo kue lembut legit kuah lokasi terbatas jual makanan nasi tim ayam enak,positive,2,154
144,teman mengajak hang sore sayang nya parkir muat 5 mobil susah lumayan menghabiskan mencari parkir,positive,2,194
145,makanan nya enak variasi makanan lumayan buka malam cocok cari makanan malam,positive,2,119
146,auto mual mie nya kelembekan molor nya hancur cuek,negative,0,56
147,kubu djarot klaim unggul real count,neutral,1,48
148,cap cay kangkung nya lumayan kepiting saus padang nya mengecewakan dikasih kepiting kopong makan kepting nya dikembalikan,negative,0,172
149,kericuhan pengujung debat pilihan gubernur jabar 14 mei 2018 menimbulkan silang pendapat kontestan debat,neutral,1,142
150,yamien manis nya banget mi nursijan asli sih angka nya almarhum nasi goreng nya rekomendasi,positive,2,163
151,engkau berbicara kualitas mu orang ikhlas menghargai kehebatan mu,positive,2,99
152,paketan nya murah setimpal banget pakai unlimited 60k sinyal bagus streaming terusan sup nya turun internetan kuatir kuota habis merek merek kuota menyesal beli,positive,2,253
153,poor makan interior bagus parkir susah makanan manis sayur asem nya,negative,0,140
154,susilo bambang yudhoyono dipilih pilihan kepala daerah sosok partai politik,neutral,1,75
155,warga bandung senang menikmati kuliner bandung nya restoran orang tua kerap membawa menikmati sate ukuran nya bumbu kacang nya khas memaksa restoran mencoba nya merekomendasikan restoran,positive,2,386
156,nyaman retro menu andalan nya grill pesan nasi goreng sea food enak,positive,2,111
157,menyesal beli first press regular isi photobooka nya alur jodoh,negative,0,78
158,suka beliau jokowi presiden,negative,0,54
159,percayakah masyarakat indonesia karangan polisi terhormat nya bertemu pemotor nya silakan nilai mengarang nilai,negative,0,195
160,angka dianggap pembawa hoki pilihan kepala daerah jawa,neutral,1,58
161,salah pesan jus stroberi nasi liwet sop buntut nya cek butik vila cocok relaxing seharian pinggir kolam buku ipad surga,positive,2,194
162,berasal pekanbaru bicara masakan padang enak masakan padang jakarta kebanyakan masakan padang dimodifikasi lidah masyarakat kantor rumah makan padang lumayan puaskan rindu cita asli padang hehe,negative,0,400
163,temui anies sandi sudirman said bahas finalisasi tim gubernur mantan ketua tim sinkronisasi anies sandi sudirman said menyambangi balai kota membahas finalisasi tim gubernur anies baswedan,neutral,1,206
164,orang orang partai keadilan sejahtera berkualitas kampanye negatif diperintahkan,negative,0,84
165,kampung daun memiliki suasana nyaman pegunungan makan siang makan malam kampung daun romantis ditemani gemericik air suasana hijau cuaca sejuk makanan khas sunda indonesia makanan steak mencicipi menu istimewa nasi timbel nasi campur sunda cocok makan serabi ditemani minuman bajigur hangat nya suasana,positive,2,457
166,jokowi suka sebar isu bohong,positive,2,34
167,cinta banget produk negeri keren modis berkualitas terjangkau,positive,2,79
168,black black keren dipakai olahraga aktivitas mantap,positive,2,92
169,terima kasih jasa nya puas pelayanan nya ramah pendamping nya keren menyenangkan,positive,2,128
170,orang papua biadab bom keberadaan nya bikin kacau susah orang,negative,0,100
171,nongkrong cantik enak nya nya luas suasana nya oke kemarin coba kopi nya pesan goulash soup salmon steak chicken steak nya goulash nya enak steak nya harga mahal situ enak okelah nongkrong minum kopi meter,positive,2,393
172,warung roti terletak daerah gardu jati menyediakan aneka roti bakar porsi pisang bakar bubur ayam melengkapi menu bubur ayam kampung gurih menggoda patut dicoba,positive,2,223
173,steak puluhan bandung tersohor zaman bandung steak meluncur stand nya banget jalan setiabudi suis butcher steak house setiabudi jalan setiabudi 174 bandung 40141 telepon 022 2033172 fax 022 2038829 steak enak banget,positive,2,366
174,sekitaran setiabudi resto kafe mencoba hitam romantiuc mencoba iga konro nya menu masakan westrn indonesia asia harga nya murah terjangkau anak anak muda,positive,2,324
175,enak selera berubah mempertahankan tradisi nya pelayanan suasa nya restoran terjaga ditingkatkan ketinggalan zaman,negative,0,281
176,bandung mampir lomie karuhun lokasi nya strategis pinggir jalan pasir kaliki enak kuah nya kental lupa pakai sambal jeruk harga nya mahal top,positive,2,210
177,restoran pemadnagan indah penataaan meja makan sungguh berantakan menimbulkan kesan restoran setara kafe lounge harga standar standar,positive,2,204
178,salah mi legendaris bandung temap nya mengalami perubahan bangunan tua rumah suka mi yamin asin mie nya lembut home kuah kaldu nya gurih,positive,2,250
179,minimal mohon bantuan nya order diambil berng nya driver gojek status nya proses pengantaran,neutral,1,127
180,mengagumi,positive,2,9
181,hebat,negative,0,11
182,bandung lupa mampir steak nya enak empuk murah original lidah indonesia cobalah tenderloin steak potato ala suis dijamin ketagihan,positive,2,198
183,beli cimory indomaret tau nya kadaluarsa kacau,negative,0,88
184,negara khilafah perbedaan salat bunuh dibunuh,negative,0,107
185,istri anak gara gara ulasan inet nya jalan riau persis bersebelahan outlet cascade heritage dekorasi nya homy duduk luas jarak meja berjauhan nyaman mengobrol tertawa tertawa protes khas nya coffee cake,positive,2,381
186,lumayan romantis bawa pasangan pas malam gerimis pemandangan oke sayang banget bawa kamera seragam pelayan diganti deh pikir security pelayan ronde nya enak pesan makanan lupa diorder dapur,positive,2,378
187,susah orang primitif tolikara papua bodoh orang salat id dibubarkan sih hitam tolol tolikara,negative,0,130
188,kaum babi menyebut ketua komisi nasional ham natalia pigai monyet manusia hitam gara gara membela habib rizieq komisi nasional menyerang fahri hamzah kaum babi muji muji komisi nasional ham dasar penjilat,negative,0,227
189,partai demokrasi indonesia perjuangan partai korup dipercaya,negative,0,54
190,bingung ragu bergabung pilihan manfaat didapatkan,positive,2,116
191,barang sayang menyasar papua modus penipuan,negative,0,99
192,prediksi persija jakarta lawan psis semarang 18 september 2018,neutral,1,59
193,terletak daerah nya dingin pemandangan nya bagus pengunjung menikmati galeri kayu ukiran berfoto foto nya luas nyaman pesan minuman hot chocolate hazelnut cokelat nya pekat enak rekomendasi pasangan suasana romantis,positive,2,357
194,kasihan polling denny siregar cebong girang sayang dipupus kalah telak nya jokowi polling denny,negative,0,142
195,makan bersahabat dompet makan menyediakan masakan sunda suasana makan kental adat sunda berkunjunglah makan siang makan siang orang orang makan makanan pas lidah harga bersahabat makan ramai dikunjungi pengunjung,positive,2,392
196,memandang flash sale enak,positive,2,54
197,kalinya nama nya bb cream concealer seumur umur pakai honetsly jatuh cinta bb cream pixy 4 cantik benefits bagus banget,positive,2,208
198,bandung mencicipi jenis makanan mencoba stand makanan tersedia bingung menentukan pilihan dimakan harga nya terjangkau lupa bawa payung hujan basah parkir stand makan nya,positive,2,380
199,pilihan restoran menu menu makanan indonesia eropa harga terjangkau porsi mengenyangkan malam minggu buka puasa meja berbanding terbalik konsumen,positive,2,302
200,roti nya enak banget ice cream enak lokasi jalan braga nya nyaman asyik hang teman kolega direkomendasikan banget,positive,2,176
201,allah sadis anies dibeginikan anies pejabat negara tuan rumah jakarta sadis biadab rezim pilih partai demokrasi indonesia perjuangan partai pendukung penista agama,negative,0,180
202,liburan bandung nama nya kuliner perhentian bakso boedjangan area kelapa gading jakarta bandung menyebakan hehe jam jam sarapan nya ramai langsung duduk,positive,2,388
203,dibiarkan bangunan sungai jalan rshs mnj pasar ciroyom cc aneh,negative,0,89
204,diajak teman kuliah bandung diajak cabe rawit unpar berbeda letak nya strategis jalan dago memiliki pilihan menu suasana nya nyaman mendukung duduk mengobrol makan minum kualitas makanan minuman nya enak,positive,2,427
205,suka minuman merah meriah enak manis pas beraneka ragam jenis minuman favorit es teh manis lidah kampungan hehe,positive,2,226
206,kebakaran hutan sumbing meluas,neutral,1,33
207,mal lengkap dinikmati keluarga tersedia gerai gerai pakaian bermerk makanan area permainan ice skating,positive,2,144
208,tipikal kafe jakarta dominan kayu oke nongkrong makanan memesan pasta aglio olio standard,positive,2,146
209,takut,negative,0,5
210,film action dijamin bosan hyung,positive,2,39
211,komikus bayaran sih keperluan politik 2019,negative,0,65
212,bikin sanpachi mayfair building beda nya menu daging babi sanpachi menyediakan menu harga murah sebandinglah suasana nya enak,positive,2,241
213,pilih es krim rhum malu merasakan sensasi hangat aroma rhum sayang nya mengandung alcohol nya nyaman duduk duduk sambal minum pelayan nya ramah sigap salah resto tua bandung turis turis bule tua mampir muda,positive,2,364
214,registrasi sms 5111,neutral,1,54
215,rumah makan sari raos nya bersih nyaman memiliki pelayanan staf nya ramah ramah khas nya orang sunda menu makanan variatif masakan ala khas sunda cita enak harga terjangkau,positive,2,242
216,wifi eror makanan minuman mahal lumpiah goreng asin teh susu enak pesanan,negative,0,144
217,coba makan bento porsi pilihan bento beragam salmon ayam daging sapi hidangan penutup pesan es strawberry,positive,2,165
218,sore keluarga suasana nyaman pemandangan alam sejuk udara nya kemarin cobalah minuman leci yougurt pisang goreng coklat menu dicoba enak,positive,2,219
219,ragam makanan dibilang ditemui restoran sunda suasana nya lumayanlah mengurangi kepenatan akibat rutinitas sehari sehari long pekan mending deh duduk berebutan mengatur antrean nya,positive,2,347
220,enak banget siniii makanan kuah bakar goreng appetizer soup main course makanan penutup makanan panas makanan dingin seafood non seafood sayuran lengkap,positive,2,207
221,khusus makan steak veget nya sih nyaman alias nongkrong hehe cocok senang makan daging,positive,2,173
222,diragukan jokowi presiden indonesia dicintai rakyat,positive,2,85
223,menikmati iga iga garang asam gigle box nikmati segar kuah asam nya perut lapar bahagia haha suka banget kebangetan suka nya dibakar iga nya,positive,2,283
224,ketua dewan perwakilan rakyat agresivitas berutang dikontrol,neutral,1,52
225,restoran konsep openair kota bandung menikmati pemandangan udara terbuka,positive,2,108
226,memasang foto editan rizieq pakai topi santa claus adek armando dipolisikan,neutral,1,76
227,cucu mantan direktur utama pertamina era soeharto harta hasil korupsi bermewah mewah hasil korupsi negara budaya malu makan hasil korupsi,negative,0,188
228,banget jalan masuk nya seram malam hihi peak suasana nya romantis pesan steak mix sosis ikan daging enak,positive,2,156
229,malu minder warga negara indonesia situ pindah negara repot malu tinggal indonesia otak beloon dasar,negative,0,133
230,beserta keluarga makan menyarankan mencoba makan retaurant keluarga memesan mencoba pesanan kesimpulan ambil makan restoran perfect awesome absolutely bagus enak banget kepiting telur asin nya nikmat cangkang cangkang kepiting nya porsi nya sekeluarga,positive,2,440
231,editor nasional geographic indonesia,neutral,1,60
232,hanamasa mengusung konsep ala makan didapatkan harga kisaran 150rb pilihan grill beef chicken seafood pilihan suki bagus nongkrong bareng teman,positive,2,268
233,mi naripan terkenal enak porsi lumayan harga mahal menengah sesuai,positive,2,156
234,sih oke parkir nya kadang jalanan jaga pas ramai mobil pesan soto ayam lumayan pesan nasi merah oke,positive,2,204
235,tarik uang atm bank negara indonesia tamansari kecamatan bandung wetan uang nya mesin sms banking masuk penarikan kacau sih pelayanan,negative,0,182
236,melakakukan reservasi malam minimal open table daerah 990 000 tax suka pelayanan cepat ramah nya enak citylight kejauhan soup mushroom mushroom nya tenderloin nya bumbu garam nya asin banget triple chocolate cabe nya enak manis pas mulut suka puas,positive,2,456
237,restoran memiliki 2 lantai terletak gedung boutique hotel sensasi ala ala korea menjejakkan langkah restoran sehelai hanbok pakaian tradisional gadis korea tergantung hiasan tembok interior nya mewah makanan disediakan restoran makanan korea menyediakan barbecue menyediakan daging non halal lanjutan,positive,2,447
238,pendukung jokowi bikin untung,negative,0,46
